time_s,raw,angle_deg,agc
21.1444,733.0000,64.4238,128.0000
21.1544,733.0000,64.4238,128.0000
21.1644,733.0000,64.4238,128.0000
21.1744,733.0000,64.4238,128.0000
21.1844,733.0000,64.4238,128.0000
21.1944,733.0000,64.4238,128.0000
21.2044,733.0000,64.4238,128.0000
21.2144,733.0000,64.4238,128.0000
21.2244,733.0000,64.4238,128.0000
21.2344,733.0000,64.4238,128.0000
21.2444,733.0000,64.4238,128.0000
21.2544,733.0000,64.4238,128.0000
21.2644,733.0000,64.4238,128.0000
21.2744,733.0000,64.4238,128.0000
21.2844,733.0000,64.4238,128.0000
21.2944,733.0000,64.4238,128.0000
21.3044,733.0000,64.4238,128.0000
21.3144,733.0000,64.4238,128.0000
21.3244,733.0000,64.4238,128.0000
21.3344,733.0000,64.4238,128.0000
21.3444,733.0000,64.4238,128.0000
21.3544,733.0000,64.4238,128.0000
21.3644,733.0000,64.4238,128.0000
21.3744,733.0000,64.4238,128.0000
21.3844,733.0000,64.4238,128.0000
21.3944,733.0000,64.4238,128.0000
21.4044,733.0000,64.4238,128.0000
21.4144,733.0000,64.4238,128.0000
21.4244,733.0000,64.4238,128.0000
21.4344,733.0000,64.4238,128.0000
21.4444,733.0000,64.4238,128.0000
21.4544,733.0000,64.4238,128.0000
21.4644,733.0000,64.4238,128.0000
21.4744,733.0000,64.4238,128.0000
21.4844,733.0000,64.4238,128.0000
21.4944,733.0000,64.4238,128.0000
21.5044,733.0000,64.4238,128.0000
21.5144,733.0000,64.4238,128.0000
21.5244,733.0000,64.4238,128.0000
21.5344,733.0000,64.4238,128.0000
21.5444,733.0000,64.4238,128.0000
21.5544,733.0000,64.4238,128.0000
21.5644,733.0000,64.4238,128.0000
21.5744,733.0000,64.4238,128.0000
21.5844,733.0000,64.4238,128.0000
21.5944,733.0000,64.4238,128.0000
21.6044,733.0000,64.4238,128.0000
21.6144,733.0000,64.4238,128.0000
21.6244,733.0000,64.4238,128.0000
21.6344,733.0000,64.4238,128.0000
21.6444,733.0000,64.4238,128.0000
21.6544,733.0000,64.4238,128.0000
21.6644,733.0000,64.4238,128.0000
21.6744,733.0000,64.4238,128.0000
21.6844,733.0000,64.4238,128.0000
21.6944,733.0000,64.4238,128.0000
21.7044,733.0000,64.4238,128.0000
21.7144,733.0000,64.4238,128.0000
21.7244,733.0000,64.4238,128.0000
21.7344,733.0000,64.4238,128.0000
21.7444,733.0000,64.4238,128.0000
21.7544,733.0000,64.4238,128.0000
21.7644,733.0000,64.4238,128.0000
21.7744,733.0000,64.4238,128.0000
21.7844,733.0000,64.4238,128.0000
21.7944,733.0000,64.4238,128.0000
21.8044,733.0000,64.4238,128.0000
21.8144,733.0000,64.4238,128.0000
21.8244,733.0000,64.4238,128.0000
21.8344,733.0000,64.4238,128.0000
21.8444,733.0000,64.4238,128.0000
21.8544,733.0000,64.4238,128.0000
21.8644,733.0000,64.4238,128.0000
21.8744,733.0000,64.4238,128.0000
21.8844,733.0000,64.4238,128.0000
21.8944,733.0000,64.4238,128.0000
21.9044,733.0000,64.4238,128.0000
21.9144,733.0000,64.4238,128.0000
21.9244,733.0000,64.4238,128.0000
21.9344,733.0000,64.4238,128.0000
21.9444,733.0000,64.4238,128.0000
21.9544,733.0000,64.4238,128.0000
21.9644,733.0000,64.4238,128.0000
21.9744,733.0000,64.4238,128.0000
21.9844,733.0000,64.4238,128.0000
21.9944,733.0000,64.4238,128.0000
22.0044,733.0000,64.4238,128.0000
22.0144,733.0000,64.4238,128.0000
22.0244,733.0000,64.4238,128.0000
22.0344,733.0000,64.4238,128.0000
22.0444,733.0000,64.4238,128.0000
22.0544,733.0000,64.4238,128.0000
22.0644,733.0000,64.4238,128.0000
22.0744,733.0000,64.4238,128.0000
22.0844,733.0000,64.4238,128.0000
22.0944,733.0000,64.4238,128.0000
22.1044,733.0000,64.4238,128.0000
22.1144,733.0000,64.4238,128.0000
22.1244,733.0000,64.4238,128.0000
22.1344,733.0000,64.4238,128.0000
22.1444,733.0000,64.4238,128.0000
22.1544,733.0000,64.4238,128.0000
22.1644,733.0000,64.4238,128.0000
22.1744,733.0000,64.4238,128.0000
22.1844,733.0000,64.4238,128.0000
22.1944,733.0000,64.4238,128.0000
22.2044,733.0000,64.4238,128.0000
22.2144,733.0000,64.4238,128.0000
22.2244,733.0000,64.4238,128.0000
22.2344,733.0000,64.4238,128.0000
22.2444,733.0000,64.4238,128.0000
22.2544,733.0000,64.4238,128.0000
22.2644,733.0000,64.4238,128.0000
22.2744,733.0000,64.4238,128.0000
22.2844,733.0000,64.4238,128.0000
22.2944,733.0000,64.4238,128.0000
22.3044,733.0000,64.4238,128.0000
22.3144,733.0000,64.4238,128.0000
22.3244,733.0000,64.4238,128.0000
22.3344,733.0000,64.4238,128.0000
22.3444,733.0000,64.4238,128.0000
22.3544,733.0000,64.4238,128.0000
22.3644,733.0000,64.4238,128.0000
22.3744,733.0000,64.4238,128.0000
22.3844,733.0000,64.4238,128.0000
22.3944,733.0000,64.4238,128.0000
22.4044,733.0000,64.4238,128.0000
22.4144,733.0000,64.4238,128.0000
22.4244,733.0000,64.4238,128.0000
22.4344,733.0000,64.4238,128.0000
